# BEGIN PLOT
Legend=1
LogY=1
Title=Differential cross section for prompt $D^0$ production ($|y|<0.5$).
XLabel=$p_T$ [GeV/c]
LegendXPos=0.45
YLabel=$\frac{\text{d}\sigma}{\text{d}p_T}$ [$\mu$b/GeV]
ConnectBins=0
RatioPlotYMax=1.5
DrawOnly=/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d01-x01-y01
LegendOnly=/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d01-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	9.780000e+01	3.426548e+01	3.214846e+01
1.000000e+00	2.000000e+00	1.910000e+02	2.908500e+01	2.885026e+01
2.000000e+00	3.000000e+00	1.070000e+02	1.152221e+01	1.131599e+01
3.000000e+00	4.000000e+00	5.040000e+01	5.311329e+00	5.180899e+00
4.000000e+00	5.000000e+00	2.440000e+01	2.568765e+00	2.484522e+00
5.000000e+00	6.000000e+00	1.320000e+01	1.475625e+00	1.414167e+00
6.000000e+00	7.000000e+00	6.850000e+00	8.081691e-01	7.706661e-01
7.000000e+00	8.000000e+00	3.130000e+00	4.379873e-01	4.178108e-01
8.000000e+00	1.000000e+01	1.630000e+00	2.013564e-01	1.932056e-01
1.000000e+01	1.200000e+01	6.520000e-01	9.801894e-02	9.570785e-02
1.200000e+01	1.600000e+01	2.330000e-01	4.096807e-02	4.046706e-02
1.600000e+01	2.400000e+01	3.830000e-02	1.043173e-02	1.039347e-02
2.400000e+01	3.600000e+01	9.490000e-03	3.229525e-03	3.226577e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d01-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d01-x01-y01
ScaledBy=7.10648300000000024e-04
Title=Pythia8.243 Monash 5e7
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.040311e+02	2.718998e-01	2.718998e-01
1.000000e+00	2.000000e+00	1.498928e+02	3.263757e-01	3.263757e-01
2.000000e+00	3.000000e+00	1.042663e+02	2.722071e-01	2.722071e-01
3.000000e+00	4.000000e+00	5.975486e+01	2.060696e-01	2.060696e-01
4.000000e+00	5.000000e+00	3.097929e+01	1.483758e-01	1.483758e-01
5.000000e+00	6.000000e+00	1.664765e+01	1.087687e-01	1.087687e-01
6.000000e+00	7.000000e+00	8.977620e+00	7.987446e-02	7.987446e-02
7.000000e+00	8.000000e+00	4.833119e+00	5.860587e-02	5.860587e-02
8.000000e+00	1.000000e+01	2.328794e+00	2.876590e-02	2.876590e-02
1.000000e+01	1.200000e+01	9.963290e-01	1.881541e-02	1.881541e-02
1.200000e+01	1.600000e+01	3.485730e-01	7.869447e-03	7.869447e-03
1.600000e+01	2.400000e+01	5.551940e-02	2.220776e-03	2.220776e-03
2.400000e+01	3.600000e+01	9.179208e-03	7.372917e-04	7.372917e-04
# END HISTO1D

