# BEGIN PLOT
Legend=1
LogY=1
Title=Differential cross section for prompt $D^+$ production ($|y|<0.5$).
XLabel=$p_T$ [GeV/c]
YLabel=$\frac{\text{d}\sigma}{\text{d}p_T}$ [$\mu$b/GeV]
ConnectBins=0
LegendXPos=0.45
RatioPlotYMax=1.5
DrawOnly=/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d02-x01-y01
LegendOnly=/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	9.220000e+01	1.877702e+01	1.871274e+01
2.000000e+00	3.000000e+00	4.390000e+01	6.676424e+00	6.651191e+00
3.000000e+00	4.000000e+00	2.300000e+01	2.391056e+00	2.367414e+00
4.000000e+00	5.000000e+00	1.090000e+01	1.123998e+00	1.107292e+00
5.000000e+00	6.000000e+00	4.820000e+00	5.312456e-01	5.194391e-01
6.000000e+00	7.000000e+00	2.670000e+00	3.112531e-01	3.059109e-01
7.000000e+00	8.000000e+00	1.600000e+00	1.940155e-01	1.910445e-01
8.000000e+00	1.000000e+01	7.610000e-01	8.936277e-02	8.813685e-02
1.000000e+01	1.200000e+01	2.580000e-01	3.717248e-02	3.673014e-02
1.200000e+01	1.600000e+01	9.960000e-02	1.497086e-02	1.485922e-02
1.600000e+01	2.400000e+01	2.420000e-02	4.177803e-03	4.172042e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d02-x01-y01
ScaledBy=7.10648300000000024e-04
Title=Pythia8.243 Monash 5e7
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	7.779893e+01	2.351333e-01	2.351333e-01
2.000000e+00	3.000000e+00	5.443992e+01	1.966917e-01	1.966917e-01
3.000000e+00	4.000000e+00	3.077107e+01	1.478763e-01	1.478763e-01
4.000000e+00	5.000000e+00	1.630867e+01	1.076556e-01	1.076556e-01
5.000000e+00	6.000000e+00	8.597423e+00	7.816485e-02	7.816485e-02
6.000000e+00	7.000000e+00	4.906316e+00	5.904799e-02	5.904799e-02
7.000000e+00	8.000000e+00	2.897313e+00	4.537589e-02	4.537589e-02
8.000000e+00	1.000000e+01	1.300131e+00	2.149344e-02	2.149344e-02
1.000000e+01	1.200000e+01	5.166415e-01	1.354899e-02	1.354899e-02
1.200000e+01	1.600000e+01	1.821036e-01	5.687962e-03	5.687962e-03
1.600000e+01	2.400000e+01	3.473294e-02	1.756520e-03	1.756520e-03
# END HISTO1D

