# BEGIN PLOT
Legend=1
LogY=1
Title=Ratio of $D^+$ to $D^0$ meson yield ($|y|<0.5$). 
XLabel=$p_T$ [GeV/c]
YLabel=$\sigma(D^+)/\sigma(D^0)$
ConnectBins=0
LegendYPos=0.95
LegendXPos=0.45
DrawOnly=/ALICE_2017_I1511870/d05-x01-y01 //mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d05-x01-y01
LegendOnly=/ALICE_2017_I1511870/d05-x01-y01 //mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d05-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	4.820000e-01	1.151406e-01	1.157340e-01
2.000000e+00	3.000000e+00	4.090000e-01	6.694735e-02	6.694735e-02
3.000000e+00	4.000000e+00	4.570000e-01	5.255712e-02	5.330339e-02
4.000000e+00	5.000000e+00	4.470000e-01	5.112397e-02	5.187158e-02
5.000000e+00	6.000000e+00	3.640000e-01	4.357281e-02	4.428984e-02
6.000000e+00	7.000000e+00	3.890000e-01	5.061929e-02	5.061929e-02
7.000000e+00	8.000000e+00	5.130000e-01	7.764567e-02	7.884701e-02
8.000000e+00	1.000000e+01	4.660000e-01	6.362631e-02	6.427524e-02
1.000000e+01	1.200000e+01	3.950000e-01	7.199126e-02	7.199126e-02
1.200000e+01	1.600000e+01	4.270000e-01	8.943108e-02	8.992729e-02
1.600000e+01	2.400000e+01	6.320000e-01	1.953873e-01	1.957426e-01
# END HISTO1D


# BEGIN HISTO1D //mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d05-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d05-x01-y01
Title=Pythia8.243 Monash 5e7
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	5.190306e-01	1.933378e-03	1.933378e-03
2.000000e+00	3.000000e+00	5.221238e-01	2.327379e-03	2.327379e-03
3.000000e+00	4.000000e+00	5.149551e-01	3.045968e-03	3.045968e-03
4.000000e+00	5.000000e+00	5.264377e-01	4.293433e-03	4.293433e-03
5.000000e+00	6.000000e+00	5.164347e-01	5.781899e-03	5.781899e-03
6.000000e+00	7.000000e+00	5.465052e-01	8.179365e-03	8.179365e-03
7.000000e+00	8.000000e+00	5.994707e-01	1.187369e-02	1.187369e-02
8.000000e+00	1.000000e+01	5.582850e-01	1.152121e-02	1.152121e-02
1.000000e+01	1.200000e+01	5.185449e-01	1.675784e-02	1.675784e-02
1.200000e+01	1.600000e+01	5.224261e-01	2.013405e-02	2.013405e-02
1.600000e+01	2.400000e+01	6.256000e-01	4.033808e-02	4.033808e-02
# END HISTO1D

