# BEGIN PLOT
Legend=1
LogY=1
Title=Ratio of $D^{*+}$ to $D^0$ meson yield ($|y|<0.5$). 
XLabel=$p_T$ [GeV/c]
YLabel=$\sigma(D^{*+})/\sigma(D^0)$
ConnectBins=0
LegendYPos=0.95
LegendXPos=0.45
DrawOnly=/ALICE_2017_I1511870/d06-x01-y01 //mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d06-x01-y01
LegendOnly=/ALICE_2017_I1511870/d06-x01-y01 //mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d06-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d06-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	5.540000e-01	1.525813e-01	1.530491e-01
2.000000e+00	3.000000e+00	4.820000e-01	7.386057e-02	7.386057e-02
3.000000e+00	4.000000e+00	5.050000e-01	6.616265e-02	6.680192e-02
4.000000e+00	5.000000e+00	4.670000e-01	5.898887e-02	5.898887e-02
5.000000e+00	6.000000e+00	4.210000e-01	5.182359e-02	5.248509e-02
6.000000e+00	7.000000e+00	4.140000e-01	5.334228e-02	5.398517e-02
7.000000e+00	8.000000e+00	4.870000e-01	7.810647e-02	7.914936e-02
8.000000e+00	1.000000e+01	4.350000e-01	6.414259e-02	6.414259e-02
1.000000e+01	1.200000e+01	5.640000e-01	1.078591e-01	1.082986e-01
1.200000e+01	1.600000e+01	6.350000e-01	1.311212e-01	1.315590e-01
1.600000e+01	2.400000e+01	6.630000e-01	2.162557e-01	2.162557e-01
# END HISTO1D


# BEGIN HISTO1D //mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d06-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mnt/c/Users/marco/Documents/GitHub/Rivet/ALICE_2017_I1511870/pythia8pp5e7.yoda/ALICE_2017_I1511870/d06-x01-y01
Title=Pythia8.243 Monash 5e7
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	3.408763e-01	1.472074e-03	1.472074e-03
2.000000e+00	3.000000e+00	3.581175e-01	1.820693e-03	1.820693e-03
3.000000e+00	4.000000e+00	3.701968e-01	2.456114e-03	2.456114e-03
4.000000e+00	5.000000e+00	3.963022e-01	3.562825e-03	3.562825e-03
5.000000e+00	6.000000e+00	4.013489e-01	4.899876e-03	4.899876e-03
6.000000e+00	7.000000e+00	4.356052e-01	7.035756e-03	7.035756e-03
7.000000e+00	8.000000e+00	4.289075e-01	9.492869e-03	9.492869e-03
8.000000e+00	1.000000e+01	4.017394e-01	9.269422e-03	9.269422e-03
1.000000e+01	1.200000e+01	3.990728e-01	1.411098e-02	1.411098e-02
1.200000e+01	1.600000e+01	3.593272e-01	1.577820e-02	1.577820e-02
1.600000e+01	2.400000e+01	4.960000e-01	3.445614e-02	3.445614e-02
# END HISTO1D

