# BEGIN PLOT
Legend=1
LogY=1
Title=Differential cross section for prompt $D^0$ production ($|y|<0.5$).
XLabel=$p_T$ [GeV/c]
LegendXPos=0.45
YLabel=$\frac{\text{d}\sigma}{\text{d}p_T}$ [$\mu$b/GeV]
ConnectBins=0
RatioPlotYMax=1.5
DrawOnly=/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d01-x01-y01
LegendOnly=/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d01-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d01-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	9.780000e+01	3.426548e+01	3.214846e+01
1.000000e+00	2.000000e+00	1.910000e+02	2.908500e+01	2.885026e+01
2.000000e+00	3.000000e+00	1.070000e+02	1.152221e+01	1.131599e+01
3.000000e+00	4.000000e+00	5.040000e+01	5.311329e+00	5.180899e+00
4.000000e+00	5.000000e+00	2.440000e+01	2.568765e+00	2.484522e+00
5.000000e+00	6.000000e+00	1.320000e+01	1.475625e+00	1.414167e+00
6.000000e+00	7.000000e+00	6.850000e+00	8.081691e-01	7.706661e-01
7.000000e+00	8.000000e+00	3.130000e+00	4.379873e-01	4.178108e-01
8.000000e+00	1.000000e+01	1.630000e+00	2.013564e-01	1.932056e-01
1.000000e+01	1.200000e+01	6.520000e-01	9.801894e-02	9.570785e-02
1.200000e+01	1.600000e+01	2.330000e-01	4.096807e-02	4.046706e-02
1.600000e+01	2.400000e+01	3.830000e-02	1.043173e-02	1.039347e-02
2.400000e+01	3.600000e+01	9.490000e-03	3.229525e-03	3.226577e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d01-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d01-x01-y01
ScaledBy=5.01520768713262025e-02
Title=Pythia 8 Monash
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.431340e+02	2.679267e+00	2.679267e+00
1.000000e+00	2.000000e+00	2.208697e+02	3.328225e+00	3.328225e+00
2.000000e+00	3.000000e+00	1.586310e+02	2.820581e+00	2.820581e+00
3.000000e+00	4.000000e+00	9.879959e+01	2.225984e+00	2.225984e+00
4.000000e+00	5.000000e+00	5.466576e+01	1.655778e+00	1.655778e+00
5.000000e+00	6.000000e+00	3.094383e+01	1.245752e+00	1.245752e+00
6.000000e+00	7.000000e+00	1.660034e+01	9.124371e-01	9.124371e-01
7.000000e+00	8.000000e+00	1.043163e+01	7.233035e-01	7.233035e-01
8.000000e+00	1.000000e+01	4.613991e+00	3.401479e-01	3.401479e-01
1.000000e+01	1.200000e+01	2.031159e+00	2.256843e-01	2.256843e-01
1.200000e+01	1.600000e+01	6.895910e-01	9.298444e-02	9.298444e-02
1.600000e+01	2.400000e+01	1.818012e-01	3.375965e-02	3.375965e-02
2.400000e+01	3.600000e+01	2.925538e-02	1.105749e-02	1.105749e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d01-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d01-x01-y01
ScaledBy=5.01520768713262302e-02
Title=Pythia 8 ECR Mode0
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.412282e+02	2.661370e+00	2.661370e+00
1.000000e+00	2.000000e+00	1.914305e+02	3.098489e+00	3.098489e+00
2.000000e+00	3.000000e+00	1.295930e+02	2.549383e+00	2.549383e+00
3.000000e+00	4.000000e+00	7.367340e+01	1.922206e+00	1.922206e+00
4.000000e+00	5.000000e+00	3.881771e+01	1.395274e+00	1.395274e+00
5.000000e+00	6.000000e+00	2.342102e+01	1.083796e+00	1.083796e+00
6.000000e+00	7.000000e+00	1.313984e+01	8.117823e-01	8.117823e-01
7.000000e+00	8.000000e+00	7.522812e+00	6.142350e-01	6.142350e-01
8.000000e+00	1.000000e+01	4.062318e+00	3.191659e-01	3.191659e-01
1.000000e+01	1.200000e+01	1.655018e+00	2.037187e-01	2.037187e-01
1.200000e+01	1.600000e+01	7.397432e-01	9.630635e-02	9.630635e-02
1.600000e+01	2.400000e+01	1.128422e-01	2.659715e-02	2.659715e-02
2.400000e+01	3.600000e+01	1.671736e-02	8.358678e-03	8.358678e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d01-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d01-x01-y01
Title=Pythia 8 ECR Mode2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.235000e+03	4.727579e+01	4.727579e+01
1.000000e+00	2.000000e+00	3.181000e+03	5.640035e+01	5.640035e+01
2.000000e+00	3.000000e+00	2.094000e+03	4.576024e+01	4.576024e+01
3.000000e+00	4.000000e+00	1.242000e+03	3.524202e+01	3.524202e+01
4.000000e+00	5.000000e+00	6.160000e+02	2.481935e+01	2.481935e+01
5.000000e+00	6.000000e+00	3.950000e+02	1.987461e+01	1.987461e+01
6.000000e+00	7.000000e+00	2.200000e+02	1.483240e+01	1.483240e+01
7.000000e+00	8.000000e+00	1.390000e+02	1.178983e+01	1.178983e+01
8.000000e+00	1.000000e+01	7.600000e+01	6.164414e+00	6.164414e+00
1.000000e+01	1.200000e+01	2.800000e+01	3.741657e+00	3.741657e+00
1.200000e+01	1.600000e+01	8.750000e+00	1.479020e+00	1.479020e+00
1.600000e+01	2.400000e+01	2.250000e+00	5.303301e-01	5.303301e-01
2.400000e+01	3.600000e+01	4.166667e-01	1.863390e-01	1.863390e-01
# END HISTO1D

