# BEGIN PLOT
Legend=1
LogY=1
Title=Ratio of $D^+$ to $D^0$ meson yield ($|y|<0.5$). 
XLabel=$p_T$ [GeV/c]
YLabel=$\sigma(D^+)/\sigma(D^0)$
ConnectBins=0
LegendYPos=0.95
LegendXPos=0.45
DrawOnly=/ALICE_2017_I1511870/d05-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d05-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d05-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d05-x01-y01
LegendOnly=/ALICE_2017_I1511870/d05-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d05-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d05-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d05-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	4.820000e-01	1.151406e-01	1.157340e-01
2.000000e+00	3.000000e+00	4.090000e-01	6.694735e-02	6.694735e-02
3.000000e+00	4.000000e+00	4.570000e-01	5.255712e-02	5.330339e-02
4.000000e+00	5.000000e+00	4.470000e-01	5.112397e-02	5.187158e-02
5.000000e+00	6.000000e+00	3.640000e-01	4.357281e-02	4.428984e-02
6.000000e+00	7.000000e+00	3.890000e-01	5.061929e-02	5.061929e-02
7.000000e+00	8.000000e+00	5.130000e-01	7.764567e-02	7.884701e-02
8.000000e+00	1.000000e+01	4.660000e-01	6.362631e-02	6.427524e-02
1.000000e+01	1.200000e+01	3.950000e-01	7.199126e-02	7.199126e-02
1.200000e+01	1.600000e+01	4.270000e-01	8.943108e-02	8.992729e-02
1.600000e+01	2.400000e+01	6.320000e-01	1.953873e-01	1.957426e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d05-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d05-x01-y01
Title=Pythia 8 Monash
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	5.077203e-01	1.318405e-02	1.318405e-02
2.000000e+00	3.000000e+00	5.434714e-01	1.628501e-02	1.628501e-02
3.000000e+00	4.000000e+00	5.030457e-01	1.959100e-02	1.959100e-02
4.000000e+00	5.000000e+00	5.550459e-01	2.813992e-02	2.813992e-02
5.000000e+00	6.000000e+00	5.170178e-01	3.565378e-02	3.565378e-02
6.000000e+00	7.000000e+00	6.374622e-01	5.615635e-02	5.615635e-02
7.000000e+00	8.000000e+00	4.326923e-01	5.459268e-02	5.459268e-02
