# BEGIN PLOT
Legend=1
LogY=1
Title=Differential cross section for prompt $D^+$ production ($|y|<0.5$).
XLabel=$p_T$ [GeV/c]
YLabel=$\frac{\text{d}\sigma}{\text{d}p_T}$ [$\mu$b/GeV]
ConnectBins=0
LegendXPos=0.45
RatioPlotYMax=1.5
DrawOnly=/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d02-x01-y01
LegendOnly=/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	9.220000e+01	1.877702e+01	1.871274e+01
2.000000e+00	3.000000e+00	4.390000e+01	6.676424e+00	6.651191e+00
3.000000e+00	4.000000e+00	2.300000e+01	2.391056e+00	2.367414e+00
4.000000e+00	5.000000e+00	1.090000e+01	1.123998e+00	1.107292e+00
5.000000e+00	6.000000e+00	4.820000e+00	5.312456e-01	5.194391e-01
6.000000e+00	7.000000e+00	2.670000e+00	3.112531e-01	3.059109e-01
7.000000e+00	8.000000e+00	1.600000e+00	1.940155e-01	1.910445e-01
8.000000e+00	1.000000e+01	7.610000e-01	8.936277e-02	8.813685e-02
1.000000e+01	1.200000e+01	2.580000e-01	3.717248e-02	3.673014e-02
1.200000e+01	1.600000e+01	9.960000e-02	1.497086e-02	1.485922e-02
1.600000e+01	2.400000e+01	2.420000e-02	4.177803e-03	4.172042e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d02-x01-y01
ScaledBy=5.01520768713262025e-02
Title=Pythia 8 Monash
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.121400e+02	2.371509e+00	2.371509e+00
2.000000e+00	3.000000e+00	8.621142e+01	2.079347e+00	2.079347e+00
3.000000e+00	4.000000e+00	4.970071e+01	1.578795e+00	1.578795e+00
4.000000e+00	5.000000e+00	3.034201e+01	1.233578e+00	1.233578e+00
5.000000e+00	6.000000e+00	1.599851e+01	8.957447e-01	8.957447e-01
6.000000e+00	7.000000e+00	1.058209e+01	7.285010e-01	7.285010e-01
7.000000e+00	8.000000e+00	4.513687e+00	4.757844e-01	4.757844e-01
8.000000e+00	1.000000e+01	2.407300e+00	2.456940e-01	2.456940e-01
1.000000e+01	1.200000e+01	1.203650e+00	1.737319e-01	1.737319e-01
1.200000e+01	1.600000e+01	3.385265e-01	6.514946e-02	6.514946e-02
1.600000e+01	2.400000e+01	6.895910e-02	2.079195e-02	2.079195e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d02-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d02-x01-y01
ScaledBy=5.01520768713262302e-02
Title=Pythia 8 ECR Mode0
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.036142e+02	2.279576e+00	2.279576e+00
2.000000e+00	3.000000e+00	6.529800e+01	1.809649e+00	1.809649e+00
3.000000e+00	4.000000e+00	3.936938e+01	1.405153e+00	1.405153e+00
4.000000e+00	5.000000e+00	2.266874e+01	1.066248e+00	1.066248e+00
5.000000e+00	6.000000e+00	1.123407e+01	7.506076e-01	7.506076e-01
6.000000e+00	7.000000e+00	6.820682e+00	5.848687e-01	5.848687e-01
7.000000e+00	8.000000e+00	4.012166e+00	4.485739e-01	4.485739e-01
8.000000e+00	1.000000e+01	1.855627e+00	2.157123e-01	2.157123e-01
1.000000e+01	1.200000e+01	8.024330e-01	1.418515e-01	1.418515e-01
1.200000e+01	1.600000e+01	3.886785e-01	6.980874e-02	6.980874e-02
1.600000e+01	2.400000e+01	3.761406e-02	1.535587e-02	1.535587e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d02-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
