# BEGIN PLOT
Legend=1
LogY=1
Title=Differential cross section for prompt $D^{*+}$ production ($|y|<0.5$).
XLabel=$p_T$ [GeV/c]
YLabel=$\frac{\text{d}\sigma}{\text{d}p_T}$ [$\mu$b/GeV]
ConnectBins=0
LegendXPos=0.45
RatioPlotYMax=1.5
DrawOnly=/ALICE_2017_I1511870/d03-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d03-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d03-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d03-x01-y01
LegendOnly=/ALICE_2017_I1511870/d03-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d03-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d03-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.060000e+02	2.621456e+01	2.621456e+01
2.000000e+00	3.000000e+00	5.170000e+01	7.483249e+00	7.465930e+00
3.000000e+00	4.000000e+00	2.540000e+01	3.151294e+00	3.137874e+00
4.000000e+00	5.000000e+00	1.140000e+01	1.369754e+00	1.359559e+00
5.000000e+00	6.000000e+00	5.560000e+00	6.370829e-01	6.299163e-01
6.000000e+00	7.000000e+00	2.840000e+00	3.308133e-01	3.258350e-01
7.000000e+00	8.000000e+00	1.520000e+00	2.023826e-01	2.005136e-01
8.000000e+00	1.000000e+01	7.090000e-01	9.413027e-02	9.269362e-02
1.000000e+01	1.200000e+01	3.680000e-01	5.696482e-02	5.652779e-02
1.200000e+01	1.600000e+01	1.480000e-01	2.152984e-02	2.141901e-02
1.600000e+01	2.400000e+01	2.540000e-02	5.136706e-03	5.124632e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d03-x01-y01
ScaledBy=5.01520768713262025e-02
Title=Pythia 8 Monash
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	7.537857e+01	1.944323e+00	1.944323e+00
2.000000e+00	3.000000e+00	5.551835e+01	1.668640e+00	1.668640e+00
3.000000e+00	4.000000e+00	3.590889e+01	1.341978e+00	1.341978e+00
4.000000e+00	5.000000e+00	2.141494e+01	1.036342e+00	1.036342e+00
