# BEGIN PLOT
Legend=1
LogY=1
Title=Ratio of $D^{*+}$ to $D^0$ meson yield ($|y|<0.5$). 
XLabel=$p_T$ [GeV/c]
YLabel=$\sigma(D^{*+})/\sigma(D^0)$
ConnectBins=0
LegendYPos=0.95
LegendXPos=0.45
DrawOnly=/ALICE_2017_I1511870/d06-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d06-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d06-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d06-x01-y01
LegendOnly=/ALICE_2017_I1511870/d06-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d06-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d06-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d06-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2017_I1511870/d06-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2017_I1511870/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2017_I1511870/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	5.540000e-01	1.525813e-01	1.530491e-01
2.000000e+00	3.000000e+00	4.820000e-01	7.386057e-02	7.386057e-02
3.000000e+00	4.000000e+00	5.050000e-01	6.616265e-02	6.680192e-02
4.000000e+00	5.000000e+00	4.670000e-01	5.898887e-02	5.898887e-02
5.000000e+00	6.000000e+00	4.210000e-01	5.182359e-02	5.248509e-02
6.000000e+00	7.000000e+00	4.140000e-01	5.334228e-02	5.398517e-02
7.000000e+00	8.000000e+00	4.870000e-01	7.810647e-02	7.914936e-02
8.000000e+00	1.000000e+01	4.350000e-01	6.414259e-02	6.414259e-02
1.000000e+01	1.200000e+01	5.640000e-01	1.078591e-01	1.082986e-01
1.200000e+01	1.600000e+01	6.350000e-01	1.311212e-01	1.315590e-01
1.600000e+01	2.400000e+01	6.630000e-01	2.162557e-01	2.162557e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d06-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6R3.yoda/ALICE_2017_I1511870/d06-x01-y01
Title=Pythia 8 Monash
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	3.412807e-01	1.019511e-02	1.019511e-02
2.000000e+00	3.000000e+00	3.499842e-01	1.222191e-02	1.222191e-02
3.000000e+00	4.000000e+00	3.634518e-01	1.586026e-02	1.586026e-02
4.000000e+00	5.000000e+00	3.917431e-01	2.236490e-02	2.236490e-02
5.000000e+00	6.000000e+00	4.230146e-01	3.123487e-02	3.123487e-02
6.000000e+00	7.000000e+00	4.259819e-01	4.283893e-02	4.283893e-02
7.000000e+00	8.000000e+00	4.086538e-01	5.260757e-02	5.260757e-02
8.000000e+00	1.000000e+01	3.858696e-01	5.391040e-02	5.391040e-02
1.000000e+01	1.200000e+01	5.185185e-01	9.859382e-02	9.859382e-02
1.200000e+01	1.600000e+01	4.181818e-01	1.038406e-01	1.038406e-01
1.600000e+01	2.400000e+01	3.103448e-01	1.184175e-01	1.184175e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d06-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode0R3.yoda/ALICE_2017_I1511870/d06-x01-y01
Title=Pythia 8 ECR Mode0
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	3.324600e-01	1.077298e-02	1.077298e-02
2.000000e+00	3.000000e+00	3.467492e-01	1.344327e-02	1.344327e-02
3.000000e+00	4.000000e+00	3.315180e-01	1.733470e-02	1.733470e-02
4.000000e+00	5.000000e+00	4.186047e-01	2.769888e-02	2.769888e-02
5.000000e+00	6.000000e+00	3.340471e-01	3.089093e-02	3.089093e-02
6.000000e+00	7.000000e+00	3.778626e-01	4.457786e-02	4.457786e-02
7.000000e+00	8.000000e+00	4.266667e-01	6.370301e-02	6.370301e-02
8.000000e+00	1.000000e+01	3.148148e-01	5.054781e-02	5.054781e-02
1.000000e+01	1.200000e+01	4.696970e-01	1.022706e-01	1.022706e-01
1.200000e+01	1.600000e+01	3.389831e-01	8.771029e-02	8.771029e-02
1.600000e+01	2.400000e+01	1.666667e-01	1.039349e-01	1.039349e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d06-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2017_I1511870/pythia8pp1e6mode2R3.yoda/ALICE_2017_I1511870/d06-x01-y01
Title=Pythia 8 ECR Mode2
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	3.404610e-01	1.125769e-02	1.125769e-02
2.000000e+00	3.000000e+00	3.595128e-01	1.432746e-02	1.432746e-02
3.000000e+00	4.000000e+00	3.909986e-01	1.955695e-02	1.955695e-02
4.000000e+00	5.000000e+00	4.052098e-01	2.870593e-02	2.870593e-02
5.000000e+00	6.000000e+00	4.109589e-01	3.638474e-02	3.638474e-02
6.000000e+00	7.000000e+00	4.256198e-01	5.007317e-02	5.007317e-02
7.000000e+00	8.000000e+00	3.437500e-01	5.373047e-02	5.373047e-02
