# BEGIN PLOT
LegendOnly=/ALICE_2013_I1190545/d01-x01-y01 //alistorage/mgiacalo/Rivet/rivet-ws/Rivet/ALICE_2017_I1645239/ALICE_2013IROBERTO/Pythiatest.yoda/ALICE_2013_I1190545/d01-x01-y01
DrawOnly=/ALICE_2013_I1190545/d01-x01-y01 //alistorage/mgiacalo/Rivet/rivet-ws/Rivet/ALICE_2017_I1645239/ALICE_2013IROBERTO/Pythiatest.yoda/ALICE_2013_I1190545/d01-x01-y01
Title=The pseudorapidity density of charged particles in the laboratory frame.
RatioPlotReference=/ALICE_2013_I1190545/d01-x01-y01
RatioPlot=1
LogY=1
XLabel=$\eta_{\rm lab}$
YLabel=d$N_{\rm ch} / d$\eta_{\rm lab}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ALICE_2013_I1190545/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2013_I1190545/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.900000e+00	1.659000e+01	6.739317e-01	6.739317e-01
-1.900000e+00	-1.800000e+00	1.671500e+01	6.630211e-01	6.630211e-01
-1.800000e+00	-1.700000e+00	1.706100e+01	6.701597e-01	6.701597e-01
-1.700000e+00	-1.600000e+00	1.715700e+01	6.702574e-01	6.702574e-01
-1.600000e+00	-1.500000e+00	1.726700e+01	6.721726e-01	6.721726e-01
-1.500000e+00	-1.400000e+00	1.740000e+01	6.756367e-01	6.756367e-01
-1.400000e+00	-1.300000e+00	1.759500e+01	6.824200e-01	6.824200e-01
-1.300000e+00	-1.200000e+00	1.763200e+01	6.831142e-01	6.831142e-01
-1.200000e+00	-1.100000e+00	1.768100e+01	6.840015e-01	6.840015e-01
-1.100000e+00	-1.000000e+00	1.760700e+01	6.809001e-01	6.809001e-01
-1.000000e+00	-9.000000e-01	1.754500e+01	6.778038e-01	6.778038e-01
-9.000000e-01	-8.000000e-01	1.751900e+01	6.767570e-01	6.767570e-01
-8.000000e-01	-7.000000e-01	1.744500e+01	6.737603e-01	6.737603e-01
-7.000000e-01	-6.000000e-01	1.734800e+01	6.697179e-01	6.697179e-01
-6.000000e-01	-5.000000e-01	1.725300e+01	6.656763e-01	6.656763e-01
