Rivet 3.1.2 running on machine bownalice07.bo.infn.it (x86_64) at 2020-09-08 12:39:20
Reading events from '../ALICE_2017_I1645239/SOFT106.5TeV.hepmc'
Event 1000 (0:00:04 elapsed)
Event 2000 (0:00:07 elapsed)
Event 3000 (0:00:11 elapsed)
Event 4000 (0:00:14 elapsed)
Event 5000 (0:00:18 elapsed)
Event 6000 (0:00:21 elapsed)
Event 7000 (0:00:25 elapsed)
Event 8000 (0:00:28 elapsed)
Event 9000 (0:00:32 elapsed)
Event 10000 (0:00:35 elapsed)
Event 11000 (0:00:39 elapsed)
Event 12000 (0:00:43 elapsed)
Event 13000 (0:00:46 elapsed)
Event 14000 (0:00:50 elapsed)
Event 15000 (0:00:53 elapsed)
Event 16000 (0:00:57 elapsed)
Event 17000 (0:01:00 elapsed)
Event 18000 (0:01:04 elapsed)
Event 19000 (0:01:07 elapsed)
Event 20000 (0:01:11 elapsed)
Event 21000 (0:01:15 elapsed)
Event 22000 (0:01:18 elapsed)
Event 23000 (0:01:22 elapsed)
Event 24000 (0:01:25 elapsed)
Event 25000 (0:01:29 elapsed)
Event 26000 (0:01:33 elapsed)
Event 27000 (0:01:36 elapsed)
Event 28000 (0:01:40 elapsed)
Event 29000 (0:01:43 elapsed)
Event 30000 (0:01:47 elapsed)
Event 31000 (0:01:50 elapsed)
Event 32000 (0:01:54 elapsed)
Event 33000 (0:01:57 elapsed)
Event 34000 (0:02:01 elapsed)
Event 35000 (0:02:05 elapsed)
Event 36000 (0:02:08 elapsed)
Event 37000 (0:02:12 elapsed)
Event 38000 (0:02:15 elapsed)
Event 39000 (0:02:19 elapsed)
Event 40000 (0:02:22 elapsed)
Event 41000 (0:02:26 elapsed)
Event 42000 (0:02:30 elapsed)
Event 43000 (0:02:33 elapsed)
Event 44000 (0:02:37 elapsed)
Event 45000 (0:02:41 elapsed)
Event 46000 (0:02:44 elapsed)
Event 47000 (0:02:48 elapsed)
Event 48000 (0:02:52 elapsed)
Event 49000 (0:02:55 elapsed)
Event 50000 (0:02:59 elapsed)
Event 51000 (0:03:02 elapsed)
Event 52000 (0:03:06 elapsed)
Event 53000 (0:03:10 elapsed)
Event 54000 (0:03:13 elapsed)
Event 55000 (0:03:17 elapsed)
Event 56000 (0:03:21 elapsed)
Event 57000 (0:03:24 elapsed)
Event 58000 (0:03:28 elapsed)
Event 59000 (0:03:31 elapsed)
Event 60000 (0:03:35 elapsed)
Event 61000 (0:03:38 elapsed)
Event 62000 (0:03:41 elapsed)
Event 63000 (0:03:45 elapsed)
Event 64000 (0:03:49 elapsed)
Event 65000 (0:03:52 elapsed)
Event 66000 (0:03:56 elapsed)
Event 67000 (0:04:00 elapsed)
Event 68000 (0:04:03 elapsed)
Event 69000 (0:04:07 elapsed)
Event 70000 (0:04:10 elapsed)
Event 71000 (0:04:14 elapsed)
Event 72000 (0:04:18 elapsed)
Event 73000 (0:04:21 elapsed)
Event 74000 (0:04:25 elapsed)
Event 75000 (0:04:29 elapsed)
Event 76000 (0:04:32 elapsed)
Event 77000 (0:04:36 elapsed)
Event 78000 (0:04:40 elapsed)
Event 79000 (0:04:43 elapsed)
Event 80000 (0:04:47 elapsed)
Event 81000 (0:04:50 elapsed)
Event 82000 (0:04:54 elapsed)
Event 83000 (0:04:58 elapsed)
Event 84000 (0:05:01 elapsed)
Event 85000 (0:05:05 elapsed)
Event 86000 (0:05:09 elapsed)
Event 87000 (0:05:12 elapsed)
Event 88000 (0:05:16 elapsed)
Event 89000 (0:05:20 elapsed)
Event 90000 (0:05:23 elapsed)
Event 91000 (0:05:27 elapsed)
Event 92000 (0:05:31 elapsed)
Event 93000 (0:05:34 elapsed)
Event 94000 (0:05:38 elapsed)
Event 95000 (0:05:42 elapsed)
Event 96000 (0:05:46 elapsed)
Event 97000 (0:05:49 elapsed)
Event 98000 (0:05:53 elapsed)
Event 99000 (0:05:56 elapsed)
Event 100000 (0:06:00 elapsed)
Finished event loop at 2020-09-08 12:45:20
Cross-section = 8.602411e+10 pb
Rivet run completed at 2020-09-08 12:45:20, time elapsed = 0:06:00
Histograms written to /alistorage/mgiacalo/Rivet/rivet-ws/Rivet/ALICE_2019_I1735351/Pythia1e5new.yoda
