event>     init
event>        0  1000000
event>        1  1000000
event>        2  1000000
event>        5  1000000
event>       10  1000000
event>       20  1000000
event>       50  1000000
event>      100  1000000
event>      200  1000000
event>      500  1000000
event>     1000  1000000
event>     2000  1000000
event>     5000  1000000
event>    10000  1000000
event>    20000  1000000
event>    30000  1000000
event>    40000  1000000
event>    50000  1000000
event>    60000  1000000
event>    70000  1000000
event>    80000  1000000
event>    90000  1000000
event>   100000  1000000
event>   110000  1000000
event>   120000  1000000
event>   130000  1000000
event>   140000  1000000
event>   150000  1000000
event>   160000  1000000
event>   170000  1000000
event>   180000  1000000
event>   190000  1000000
event>   200000  1000000
event>   210000  1000000
event>   220000  1000000
event>   230000  1000000
event>   240000  1000000
event>   250000  1000000
event>   260000  1000000
event>   270000  1000000
event>   280000  1000000
event>   290000  1000000
event>   300000  1000000
event>   310000  1000000
event>   320000  1000000
event>   330000  1000000
event>   340000  1000000
event>   350000  1000000
event>   360000  1000000
event>   370000  1000000
event>   380000  1000000
event>   390000  1000000
event>   400000  1000000
event>   410000  1000000
event>   420000  1000000
event>   430000  1000000
event>   440000  1000000
event>   450000  1000000
event>   460000  1000000
event>   470000  1000000
event>   480000  1000000
event>   490000  1000000
event>   500000  1000000
event>   510000  1000000
event>   520000  1000000
event>   530000  1000000
event>   540000  1000000
event>   550000  1000000
event>   560000  1000000
event>   570000  1000000
event>   580000  1000000
event>   590000  1000000
event>   600000  1000000
event>   610000  1000000
event>   620000  1000000
event>   630000  1000000
event>   640000  1000000
event>   650000  1000000
event>   660000  1000000
event>   670000  1000000
event>   680000  1000000
event>   690000  1000000
event>   700000  1000000
event>   710000  1000000
event>   720000  1000000
event>   730000  1000000
event>   740000  1000000
event>   750000  1000000
event>   760000  1000000
event>   770000  1000000
event>   780000  1000000
event>   790000  1000000
event>   800000  1000000
event>   810000  1000000
event>   820000  1000000
event>   830000  1000000
event>   840000  1000000
event>   850000  1000000
event>   860000  1000000
event>   870000  1000000
event>   880000  1000000
event>   890000  1000000
event>   900000  1000000
event>   910000  1000000
event>   920000  1000000
event>   930000  1000000
event>   940000  1000000
event>   950000  1000000
event>   960000  1000000
event>   970000  1000000
event>   980000  1000000
event>   990000  1000000
event>   995000  1000000
event>   998000  1000000
event>   999000  1000000
event>   999500  1000000
event>   999800  1000000
event>   999900  1000000
event>   999950  1000000
event>   999980  1000000
event>   999990  1000000
event>   999995  1000000
event>   999998  1000000
event>   999999  1000000
event>  1000000  1000000

HepMCFile: generated HepMC output.

BasicConsistency: maximum 4-momentum violation: 1.07785 MeV

