Rivet 3.1.1 running on machine mgiacalo-simple (x86_64) at 2022-04-07 15:52:00
Reading events from '/tmp/p6per.fifo'
Event 100 (0:00:01 elapsed)
Event 200 (0:00:01 elapsed)
Event 300 (0:00:02 elapsed)
Event 400 (0:00:03 elapsed)
Event 500 (0:00:04 elapsed)
Event 600 (0:00:04 elapsed)
Event 700 (0:00:05 elapsed)
Event 800 (0:00:06 elapsed)
Event 900 (0:00:06 elapsed)
Event 1000 (0:00:07 elapsed)
Event 1100 (0:00:08 elapsed)
Event 1200 (0:00:09 elapsed)
Event 1300 (0:00:09 elapsed)
Event 1400 (0:00:10 elapsed)
Event 1500 (0:00:11 elapsed)
Event 1600 (0:00:12 elapsed)
Event 1700 (0:00:12 elapsed)
Event 1800 (0:00:13 elapsed)
Event 1900 (0:00:14 elapsed)
Event 2000 (0:00:14 elapsed)
Event 2100 (0:00:15 elapsed)
Event 2200 (0:00:16 elapsed)
Event 2300 (0:00:17 elapsed)
Event 2400 (0:00:17 elapsed)
Event 2500 (0:00:18 elapsed)
Event 2600 (0:00:19 elapsed)
Event 2700 (0:00:19 elapsed)
Event 2800 (0:00:20 elapsed)
Event 2900 (0:00:21 elapsed)
Event 3000 (0:00:22 elapsed)
Event 3100 (0:00:22 elapsed)
Event 3200 (0:00:23 elapsed)
Event 3300 (0:00:24 elapsed)
Event 3400 (0:00:25 elapsed)
Event 3500 (0:00:25 elapsed)
Event 3600 (0:00:26 elapsed)
Event 3700 (0:00:27 elapsed)
Event 3800 (0:00:28 elapsed)
Event 3900 (0:00:28 elapsed)
Event 4000 (0:00:29 elapsed)
Event 4100 (0:00:30 elapsed)
Event 4200 (0:00:31 elapsed)
Event 4300 (0:00:32 elapsed)
Event 4400 (0:00:32 elapsed)
Event 4500 (0:00:33 elapsed)
Event 4600 (0:00:34 elapsed)
Event 4700 (0:00:34 elapsed)
Event 4800 (0:00:35 elapsed)
Event 4900 (0:00:36 elapsed)
Event 5000 (0:00:37 elapsed)
Event 5100 (0:00:37 elapsed)
Event 5200 (0:00:38 elapsed)
Event 5300 (0:00:39 elapsed)
Event 5400 (0:00:40 elapsed)
Event 5500 (0:00:40 elapsed)
Event 5600 (0:00:41 elapsed)
Event 5700 (0:00:42 elapsed)
Event 5800 (0:00:42 elapsed)
Event 5900 (0:00:43 elapsed)
Event 6000 (0:00:44 elapsed)
Event 6100 (0:00:45 elapsed)
Event 6200 (0:00:46 elapsed)
Event 6300 (0:00:46 elapsed)
Event 6400 (0:00:47 elapsed)
Event 6500 (0:00:48 elapsed)
Event 6600 (0:00:49 elapsed)
Event 6700 (0:00:49 elapsed)
Event 6800 (0:00:50 elapsed)
Event 6900 (0:00:51 elapsed)
Event 7000 (0:00:51 elapsed)
Event 7100 (0:00:52 elapsed)
Event 7200 (0:00:53 elapsed)
Event 7300 (0:00:54 elapsed)
Event 7400 (0:00:55 elapsed)
Event 7500 (0:00:55 elapsed)
Event 7600 (0:00:56 elapsed)
Event 7700 (0:00:57 elapsed)
Event 7800 (0:00:58 elapsed)
Event 7900 (0:00:58 elapsed)
Event 8000 (0:00:59 elapsed)
Event 8100 (0:01:00 elapsed)
Event 8200 (0:01:01 elapsed)
Event 8300 (0:01:01 elapsed)
Event 8400 (0:01:02 elapsed)
Event 8500 (0:01:03 elapsed)
Event 8600 (0:01:04 elapsed)
Event 8700 (0:01:05 elapsed)
Event 8800 (0:01:05 elapsed)
Event 8900 (0:01:06 elapsed)
Event 9000 (0:01:07 elapsed)
Event 9100 (0:01:07 elapsed)
Event 9200 (0:01:08 elapsed)
Event 9300 (0:01:09 elapsed)
Event 9400 (0:01:10 elapsed)
Event 9500 (0:01:10 elapsed)
Event 9600 (0:01:11 elapsed)
Event 9700 (0:01:12 elapsed)
Event 9800 (0:01:12 elapsed)
Event 9900 (0:01:13 elapsed)
Event 10000 (0:01:14 elapsed)
Event 10100 (0:01:15 elapsed)
Event 10200 (0:01:15 elapsed)
Event 10300 (0:01:16 elapsed)
Event 10400 (0:01:17 elapsed)
Event 10500 (0:01:18 elapsed)
Event 10600 (0:01:18 elapsed)
Event 10700 (0:01:19 elapsed)
Event 10800 (0:01:20 elapsed)
Event 10900 (0:01:20 elapsed)
Event 11000 (0:01:21 elapsed)
Event 11100 (0:01:22 elapsed)
Event 11200 (0:01:22 elapsed)
Event 11300 (0:01:23 elapsed)
Event 11400 (0:01:24 elapsed)
Event 11500 (0:01:24 elapsed)
Event 11600 (0:01:25 elapsed)
Event 11700 (0:01:26 elapsed)
Event 11800 (0:01:27 elapsed)
Event 11900 (0:01:27 elapsed)
Event 12000 (0:01:28 elapsed)
Event 12100 (0:01:29 elapsed)
Event 12200 (0:01:30 elapsed)
Event 12300 (0:01:30 elapsed)
Event 12400 (0:01:31 elapsed)
Event 12500 (0:01:32 elapsed)
Event 12600 (0:01:33 elapsed)
Event 12700 (0:01:33 elapsed)
Event 12800 (0:01:34 elapsed)
Event 12900 (0:01:35 elapsed)
Event 13000 (0:01:36 elapsed)
Event 13100 (0:01:36 elapsed)
Event 13200 (0:01:37 elapsed)
Event 13300 (0:01:38 elapsed)
Event 13400 (0:01:38 elapsed)
Event 13500 (0:01:39 elapsed)
Event 13600 (0:01:40 elapsed)
Event 13700 (0:01:41 elapsed)
Event 13800 (0:01:41 elapsed)
Event 13900 (0:01:42 elapsed)
Event 14000 (0:01:43 elapsed)
Event 14100 (0:01:44 elapsed)
Event 14200 (0:01:44 elapsed)
Event 14300 (0:01:45 elapsed)
Event 14400 (0:01:46 elapsed)
Event 14500 (0:01:46 elapsed)
Event 14600 (0:01:47 elapsed)
Event 14700 (0:01:48 elapsed)
Event 14800 (0:01:49 elapsed)
Event 14900 (0:01:49 elapsed)
Event 15000 (0:01:50 elapsed)
Event 15100 (0:01:51 elapsed)
Event 15200 (0:01:52 elapsed)
Event 15300 (0:01:53 elapsed)
Event 15400 (0:01:53 elapsed)
Event 15500 (0:01:54 elapsed)
Event 15600 (0:01:55 elapsed)
Event 15700 (0:01:55 elapsed)
Event 15800 (0:01:56 elapsed)
Event 15900 (0:01:57 elapsed)
