# BEGIN PLOT
Legend=1
LogY=1
Title=Differential $\Lambda_c$ production cross section vs $p_T$
XLabel=$p_T$ [GeV/$c$]
YLabel=$\Lambda_c^+$ $\sigma$
DrawOnly=/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode0.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
LegendOnly=/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode0.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2022_I1868463/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2022_I1868463/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2022_I1868463/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.159700e+02	1.655187e+01	1.640419e+01
2.000000e+00	3.000000e+00	7.165600e+01	9.006789e+00	8.892294e+00
3.000000e+00	4.000000e+00	3.467600e+01	4.224842e+00	4.165409e+00
4.000000e+00	5.000000e+00	1.471200e+01	1.750654e+00	1.711582e+00
5.000000e+00	6.000000e+00	7.838600e+00	9.359086e-01	9.135337e-01
6.000000e+00	7.000000e+00	3.409500e+00	4.656719e-01	4.494989e-01
7.000000e+00	8.000000e+00	1.933000e+00	2.810230e-01	2.722308e-01
8.000000e+00	1.000000e+01	8.033200e-01	1.206931e-01	1.156112e-01
1.000000e+01	1.200000e+01	3.101200e-01	5.783557e-02	5.599188e-02
1.200000e+01	2.400000e+01	3.487500e-02	7.891637e-03	7.595613e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6.yoda/ALICE_2022_I1868463/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6.yoda/ALICE_2022_I1868463/d02-x01-y01
ScaledBy=5.01520768713262025e-02
Title=Pythia8 (Monash)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.218695e+01	7.817935e-01	7.817935e-01
2.000000e+00	3.000000e+00	1.028118e+01	7.180685e-01	7.180685e-01
3.000000e+00	4.000000e+00	7.522812e+00	6.142350e-01	6.142350e-01
4.000000e+00	5.000000e+00	4.112470e+00	4.541463e-01	4.541463e-01
5.000000e+00	6.000000e+00	1.755323e+00	2.967037e-01	2.967037e-01
6.000000e+00	7.000000e+00	1.103346e+00	2.352341e-01	2.352341e-01
7.000000e+00	8.000000e+00	5.015208e-01	1.585948e-01	1.585948e-01
8.000000e+00	1.000000e+01	3.761406e-01	9.711908e-02	9.711908e-02
1.000000e+01	1.200000e+01	2.507604e-01	7.929740e-02	7.929740e-02
1.200000e+01	2.400000e+01	1.671736e-02	8.358678e-03	8.358678e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode0.yoda/ALICE_2022_I1868463/d02-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode0.yoda/ALICE_2022_I1868463/d02-x01-y01
ScaledBy=5.01520768713262302e-02
Title=Pythia8 ECR Mode0
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.039151e+02	2.282884e+00	2.282884e+00
2.000000e+00	3.000000e+00	6.033295e+01	1.739489e+00	1.739489e+00
3.000000e+00	4.000000e+00	2.958973e+01	1.218190e+00	1.218190e+00
4.000000e+00	5.000000e+00	1.469456e+01	8.584653e-01	8.584653e-01
5.000000e+00	6.000000e+00	7.021291e+00	5.934074e-01	5.934074e-01
6.000000e+00	7.000000e+00	3.209733e+00	4.012166e-01	4.012166e-01
7.000000e+00	8.000000e+00	2.256843e+00	3.364304e-01	3.364304e-01
8.000000e+00	1.000000e+01	7.021290e-01	1.326899e-01	1.326899e-01
1.000000e+01	1.200000e+01	2.758364e-01	8.316781e-02	8.316781e-02
1.200000e+01	2.400000e+01	2.507604e-02	1.023725e-02	1.023725e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp1e6mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
ScaledBy=5.01520768713264661e-02
Title=Pythia8 ECR Mode2
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.112875e+02	2.362477e+00	2.362477e+00
