# BEGIN PLOT
Legend=1
LogY=1
Title=Differential $\Lambda_c$ production cross section vs $p_T$
XLabel=$p_T$ [GeV/$c$]
YLabel=$\Lambda_c^+$ $\sigma$
LegendXPos=0.49
DrawOnly=/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode0.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
LegendOnly=/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode0.yoda/ALICE_2022_I1868463/d02-x01-y01 //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2022_I1868463/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2022_I1868463/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2022_I1868463/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.159700e+02	1.655187e+01	1.640419e+01
2.000000e+00	3.000000e+00	7.165600e+01	9.006789e+00	8.892294e+00
3.000000e+00	4.000000e+00	3.467600e+01	4.224842e+00	4.165409e+00
4.000000e+00	5.000000e+00	1.471200e+01	1.750654e+00	1.711582e+00
5.000000e+00	6.000000e+00	7.838600e+00	9.359086e-01	9.135337e-01
6.000000e+00	7.000000e+00	3.409500e+00	4.656719e-01	4.494989e-01
7.000000e+00	8.000000e+00	1.933000e+00	2.810230e-01	2.722308e-01
8.000000e+00	1.000000e+01	8.033200e-01	1.206931e-01	1.156112e-01
1.000000e+01	1.200000e+01	3.101200e-01	5.783557e-02	5.599188e-02
1.200000e+01	2.400000e+01	3.487500e-02	7.891637e-03	7.595613e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7.yoda/ALICE_2022_I1868463/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7.yoda/ALICE_2022_I1868463/d02-x01-y01
ScaledBy=7.80485000000000033e-04
Title=Pythia8.243 Monash 5e7
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.254005e+01	9.893090e-02	9.893090e-02
2.000000e+00	3.000000e+00	1.012211e+01	8.888282e-02	8.888282e-02
3.000000e+00	4.000000e+00	6.671586e+00	7.216005e-02	7.216005e-02
4.000000e+00	5.000000e+00	4.097546e+00	5.655151e-02	5.655151e-02
5.000000e+00	6.000000e+00	2.300870e+00	4.237681e-02	4.237681e-02
6.000000e+00	7.000000e+00	1.429068e+00	3.339710e-02	3.339710e-02
7.000000e+00	8.000000e+00	8.319970e-01	2.548257e-02	2.548257e-02
8.000000e+00	1.000000e+01	3.964864e-01	1.243888e-02	1.243888e-02
1.000000e+01	1.200000e+01	1.596092e-01	7.892165e-03	7.892165e-03
1.200000e+01	2.400000e+01	2.926819e-02	1.379716e-03	1.379716e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode0.yoda/ALICE_2022_I1868463/d02-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode0.yoda/ALICE_2022_I1868463/d02-x01-y01
ScaledBy=1.00304200000000000e-03
Title=Pythia8.243 Mode0 5e7
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	9.810553e+01	3.136941e-01	3.136941e-01
2.000000e+00	3.000000e+00	5.434682e+01	2.334784e-01	2.334784e-01
3.000000e+00	4.000000e+00	3.008123e+01	1.737030e-01	1.737030e-01
4.000000e+00	5.000000e+00	1.400548e+01	1.185246e-01	1.185246e-01
5.000000e+00	6.000000e+00	7.564943e+00	8.710887e-02	8.710887e-02
6.000000e+00	7.000000e+00	3.707243e+00	6.097968e-02	6.097968e-02
7.000000e+00	8.000000e+00	1.556721e+00	3.951528e-02	3.951528e-02
8.000000e+00	1.000000e+01	7.156705e-01	1.894528e-02	1.894528e-02
1.000000e+01	1.200000e+01	6.936035e-01	1.865092e-02	1.865092e-02
1.200000e+01	2.400000e+01	3.234811e-02	1.644347e-03	1.644347e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mgiacalo/Rivet/ALICE_2022_I1868463/pythia8pp5e7mode2.yoda/ALICE_2022_I1868463/d02-x01-y01
ScaledBy=1.00304200000000000e-03
Title=Pythia8.243 Mode2 5e7
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.090858e+02	3.307835e-01	3.307835e-01
